temple_no,satori,hour,people,max_temp,min_temp,precipitation,wind,kcal,day_total_kcal,trip_total_kcal,km,day_total_km,trip_total_km
1,0.847542779,8,18,26.8,13.9,0,8.3,0,0,0,0,0,0
2,0.878716365,9,15,26.8,13.9,0,8.3,99,99,99,1.21,1.21,1.21
3,0.576629219,10,7,26.8,13.9,0,8.3,241,340,340,3,4.21,4.21
4,0.549223004,11,8,26.8,13.9,0,8.3,397,737,737,4.96,9.17,9.17
5,0.864162361,11,7,26.8,13.9,0,8.3,178,915,915,2.29,11.46,11.46
6,0.871239685,12,3,26.8,13.9,0,8.3,423,1338,1338,5.27,16.73,16.73
7,0.846123362,13,13,26.8,13.9,0,8.3,123,1461,1461,1.39,18.12,18.12
8,0.724200341,14,10,26.8,13.9,0,8.3,403,1864,1864,4.29,22.41,22.41
9,0.51924081,15,10,26.8,13.9,0,8.3,217,2081,2081,2.45,24.86,24.86
10,0.715368305,16,16,26.8,13.9,0,8.3,416,2497,2497,4.07,28.93,28.93
11,0.877720976,8,5,22,13,0,6.4,1221,210,3718,12.54,2.48,41.47
12,0.637839202,13,17,22,13,0,6.4,1958,2168,5676,13.7,16.18,55.17
13,0.878110895,9,15,22.4,14.8,0,8.5,2429,1046,8105,28.79,12.46,83.96
14,0.88267008,10,14,22.4,14.8,0,8.5,233,1279,8338,2.54,15,86.5
15,0.79522288,11,19,22.4,14.8,0,8.5,67,1346,8405,0.72,15.72,87.22
16,0.717278863,11,12,22.4,14.8,0,8.5,189,1535,8594,1.98,17.7,89.2
17,0.871879559,12,15,22.4,14.8,0,8.5,261,1796,8855,2.95,20.65,92.15
18,0.913916091,11,32,24.6,15.3,0,6.5,1696,1043,10551,19.46,12.45,111.61
19,0.752932817,12,14,24.6,15.3,0,6.5,399,1442,10950,4.63,17.08,116.24
20,0.902630716,7,12,25.2,17.8,0,5.4,1567,490,12517,14.47,3.34,130.71
21,0.870340298,9,37,25.2,17.8,0,5.4,842,1332,13359,6.59,9.93,137.3
22,0.872705061,13,17,25.2,17.8,0,5.4,1180,2512,14539,11.61,21.54,148.91
23,0.908851821,11,37,25.3,16.9,0,4.4,2706,2162,17245,31.82,25.49,180.73
24,0.938581188,16,4,23,20.3,34,18.1,6743,3264,6625,82.16,38.03,81.21
25,0.911223227,8,2,28.6,24.7,31,16,538,375,7163,6.82,4.62,88.03
26,0.956044695,9,2,28.6,24.7,31,16,420,795,7583,4.1,8.72,92.13
27,0.899118903,9,14,30.5,21.2,0,3.9,2631,979,10214,29.65,9.41,121.78
28,0.801296573,14,5,27.5,20.3,0,3.2,3183,2022,13397,42.18,26.89,163.96
29,0.913772485,12,5,24.5,19.7,0,2.7,898,716,14295,11.05,8.49,175.01
30,0.633513875,11,11,14.5,5.6,0,6.1,962,673,673,11.01,8.06,8.06
31,0.910218465,13,43,14.5,5.6,0,6.1,702,1375,1375,7.79,15.85,15.85
32,0.892180454,15,4,14.5,5.6,0,6.1,590,1965,1965,6.12,21.97,21.97
33,0.86078278,9,8,17.2,6.7,0,2.7,732,348,2697,7.74,3.86,29.71
34,0.639115079,13,8,17.2,6.7,0,2.7,585,933,3282,6.53,10.39,36.24
35,0.899462256,13,3,17.2,6.7,0,2.7,779,1712,4061,9.79,20.18,46.03
36,0.889330172,9,6,9.8,5.9,12.5,4.4,1286,97,5347,14.86,1,60.89
37,0.445277184,14,5,6.7,-1.7,1,6.4,4636,2472,9983,62.81,36.05,123.7
38,0.89933404,8,20,19.8,14.7,12.5,3.2,8029,0,8007,97.98,0,97.69
39,0.887941237,13,14,19,13.6,2.5,4,5255,2817,13262,62.74,34.77,160.43
40,0.826710609,12,5,27.1,22.5,28,4.1,2625,1983,2625,32.99,24.71,32.99
41,0.899766308,10,2,29.3,21.8,18.5,5.6,4801,854,7426,56.87,10.01,89.86
42,0.879250128,11,4,29.3,21.8,18.5,5.6,389,1243,7815,3.74,13.75,93.6
43,0.777213859,16,3,29.3,21.8,18.5,5.6,1730,2973,9545,20.43,34.18,114.03
44,0.95328463,12,6,22.3,14,0,3.9,6592,2207,3775,76.62,24.49,41
45,0.874959911,15,13,22.3,14,0,3.9,1177,3384,4952,13.58,38.07,54.58
46,0.925967734,14,9,26.3,12.9,0,4,2532,2251,7484,29.98,26.89,84.56
47,0.860051074,8,4,28.4,19.5,0,3.9,137,137,7621,1.54,1.54,86.1
