No,temple,timestamp,hour,weekday,holiday,male,female,all
1,霊山寺,2017/05/01 08:51,8,月,0,13,5,18
2,極楽寺,2017/05/01 09:33,9,月,0,8,7,15
3,金泉寺,2017/05/01 10:04,10,月,0,4,3,7
4,大日寺,2017/05/01 11:11,11,月,0,6,2,8
5,地蔵寺,2017/05/01 11:48,11,月,0,4,3,7
6,安楽寺,2017/05/01 12:58,12,月,0,1,2,3
7,十楽寺,2017/05/01 13:26,13,月,0,8,5,13
8,熊谷寺,2017/05/01 14:36,14,月,0,6,4,10
9,法輪寺,2017/05/01 15:13,15,月,0,6,4,10
10,切幡寺,2017/05/01 16:22,16,月,0,12,4,16
11,藤井寺,2017/05/02 08:37,8,火,0,2,3,5
12,焼山寺,2017/05/02 13:39,13,火,0,11,6,17
13,大日寺,2017/05/03 09:46,9,水,1,9,6,15
14,常楽寺,2017/05/03 10:38,10,水,1,6,8,14
15,國分寺,2017/05/03 11:12,11,水,1,8,11,19
16,観音寺,2017/05/03 11:56,11,水,1,6,6,12
17,井戸寺,2017/05/03 12:49,12,水,1,11,4,15
18,恩山寺,2017/05/04 11:06,11,木,1,17,15,32
19,立江寺,2017/05/04 12:20,12,木,1,6,8,14
20,鶴林寺,2017/05/05 07:50,7,金,1,10,2,12
21,太龍寺,2017/05/05 09:58,9,金,1,25,12,37
22,平等寺,2017/05/05 13:35,13,金,1,8,9,17
23,薬王寺,2017/05/06 11:58,11,土,1,18,19,37
24,最御崎寺,2017/09/16 16:09,16,土,1,3,1,4
25,津照寺,2017/09/17 08:21,8,日,1,1,1,2
26,金剛頂寺,2017/09/17 09:20,9,日,1,1,1,2
27,神峯寺,2017/09/18 09:51,9,月,1,7,7,14
28,大日寺,2017/09/19 14:31,14,火,0,3,2,5
29,国分寺,2017/09/20 12:37,12,水,0,2,3,5
30,善楽寺,2017/12/02 11:38,11,土,1,5,6,11
31,竹林寺,2017/12/02 13:50,13,土,1,23,20,43
32,禅師峰寺,2017/12/02 15:34,15,土,1,1,3,4
33,雪蹊寺,2017/12/03 09:08,9,日,1,4,4,8
34,種間寺,2017/12/03 13:06,13,日,1,4,4,8
35,清滝寺,2017/12/03 13:06,13,日,1,2,1,3
36,青龍寺,2017/12/04 09:34,9,月,0,1,5,6
37,岩本寺,2017/12/05 14:51,14,火,0,2,3,5
38,金剛福寺,2019/04/30 08:22,8,火,1,11,9,20
39,延光寺,2019/05/01 13:15,13,水,1,6,8,14
40,観自在寺,2019/07/09 12:59,12,火,0,1,4,5
41,龍光寺,2019/07/11 10:36,10,木,0,2,0,2
42,仏木寺,2019/07/11 11:43,11,木,0,3,1,4
43,明石寺,2019/07/11 16:00,16,木,0,2,1,3
44,大寳寺,2019/09/24 12:08,12,火,0,4,2,6
45,岩屋寺,2019/09/24 15:24,15,火,0,6,7,13
46,浄瑠璃寺,2019/09/25 14:36,14,水,0,7,2,9
47,八坂寺,2019/09/26 08:41,8,木,0,3,1,4
48,西林寺,2019/09/26 09:54,9,木,0,3,2,5
49,浄土寺,2019/09/26 10:55,10,木,0,2,3,5
50,繁多寺,2019/09/26 11:33,11,木,0,3,1,4
51,石手寺,2019/09/26 12:37,12,木,0,11,12,23
52,太山寺,2019/09/27 10:26,10,金,0,6,6,12
53,円明寺,2019/09/27 11:23,11,金,0,1,2,3
54,延命寺,2019/12/04 08:22,8,水,0,3,1,4
55,南光坊,2019/12/04 09:47,9,水,0,3,3,6
56,泰山寺,2019/12/04 10:40,10,水,0,1,0,1
57,栄福寺,2019/12/04 11:33,11,水,0,2,1,3
58,仙遊寺,2019/12/04 12:43,12,水,0,2,1,3
59,国分寺,2019/12/04 13:03,13,水,0,1,0,1
60,横峯寺,2019/12/05 13:15,13,木,0,3,0,3
61,香園寺,2019/12/06 09:24,9,金,0,7,22,29
62,宝寿寺,2019/12/06 10:24,10,金,0,1,0,1
63,吉祥寺,2019/12/06 10:47,10,金,0,2,0,2
64,前神寺,2019/12/06 12:03,12,金,0,3,1,4
